	feats	meansurp	c1	c2	p1	p2	rank
37	V;SG;PST	8.944858380645126	Number	Tense	3.0	1.0	2.0
38	V;IND;PRS	11.305234845923604	Mood	Tense	0.0	1.0	1.0
39	V;SG;PRF	2.4359841292360334	Number		3.0		
40	V;2;NFIN	1.442962449101695	Person	VerbForm	6.0	2.0	4.0
41	V;COND;1	5.132096965268131	Mood	Person	0.0	6.0	6.0
42	V;SBJV;IPFV	52.00031184605709	Mood	Aspect	0.0		
43	V;2;IND	19.29714297345309	Person	Mood	6.0	0.0	6.0
44	V;3;IND	15.56286353359322	Person	Mood	6.0	0.0	6.0
45	V;2;FUT	3.4722526972763936	Person	Tense	6.0	1.0	5.0
46	V;2;SBJV	3.566015779272175	Person	Mood	6.0	0.0	6.0
47	V;SG;PRS	3.283587001041278	Number	Tense	3.0	1.0	2.0
48	V;IPFV;IND	18.941659471965064	Aspect	Mood		0.0	
49	V;SG;FUT	14.064950910057592	Number	Tense	3.0	1.0	2.0
50	V;SG;3	2.749588779266748	Number	Person	3.0	6.0	3.0
51	V;2;IPFV	5.478029779095481	Person	Aspect	6.0		
52	V;1;IPFV	1.5194009251351983	Person	Aspect	6.0		
53	V;PST;IND	27.094050939283864	Tense	Mood	1.0	0.0	1.0
54	V;PL;IMP	4.8322675868821925	Number	Mood	3.0	0.0	3.0
55	V;IMP;3	3.06738991129138	Mood	Person	0.0	6.0	6.0
