	feats	meansurp	c1	c2	p1	p2	rank
144	V;DU;SBJV	0.2410451990997588	Number	Mood	5.0	2.0	3.0
145	V;PST;FEM	12.277903875350452	Tense	Gender		4.0	
146	V;PST;2	33.13810528536349	Tense	Person		6.0	
147	V;3;SBJV	1.4345425774263711	Person	Mood	6.0	2.0	4.0
148	V;ACT;PRF	34.78714969960111	Voice		0.0		
149	V;PASS;DU	1.341178736069078	Voice	Number	0.0	5.0	5.0
150	V;SBJV;SG	1.5157108512450372	Mood	Number	2.0	5.0	3.0
151	V;MASC;3	15.81173235823896	Gender	Person	4.0	6.0	2.0
152	V;1;SG	31.70916650099459	Person	Number	6.0	5.0	1.0
153	V;2;PASS	2.999423970929181	Person	Voice	6.0	0.0	6.0
154	V;PST;PASS	30.22884505396458	Tense	Voice		0.0	
155	V;PST;DU	6.952703774064147	Tense	Number		5.0	
156	V;MASC;IMP	4.481323022124596	Gender	Mood	4.0	2.0	2.0
157	V;PASS;SG	4.339805561201185	Voice	Number	0.0	5.0	5.0
158	V;2;SBJV	0.4903126869074853	Person	Mood	6.0	2.0	4.0
159	V;IPFV;FEM	1.7530123179204788	Aspect	Gender	3.0	4.0	1.0
